StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36_1,Q36_2,Q36_3,Q37,Q38,Code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"While you were deciding whether to evacuate or stay at home, what was your assessment of the following risks? - The risk of staying at home","While you were deciding whether to evacuate or stay at home, what was your assessment of the following risks? - The risk of evacuating","While you were deciding whether to evacuate or stay at home, what was your assessment of the following risks? - Wind might threaten my personal or my family's safety","While you were deciding whether to evacuate or stay at home, what was your assessment of the following risks? - Wind might damage my home or possessions","While you were deciding whether to evacuate or stay at home, what was your assessment of the following risks? - Flood might threaten my personal or my family's safety","While you were deciding whether to evacuate or stay at home, what was your assessment of the following risks? - Flood might damage my home or possessions","Before the hurricane hitting your area, did you get any information about it from watching TV or listening to the radio?","How much did you see or hear the information below from TV and Radio? - Damage already caused by this storm (e.g. damaged buildings, power outage)",How much did you see or hear the information below from TV and Radio? - Human casualities,How much did you see or hear the information below from TV and Radio? - Poor traffic and road conditions,"How much did you see or hear the information below from TV and Radio? - Preparations you needed to do (e.g. water, food, battery)",How much did you see or hear the information below from TV and Radio? - People were staying in their homes,How much did you see or hear the information below from TV and Radio? - People were leaving,"Before the hurricane hitting your area, did you get any information about it from social media?","How much did you see the information below from social media such as Facebook, Twitter, etc.? - Images/videos that showed damages already caused by the storm","How much did you see the information below from social media such as Facebook, Twitter, etc.? - Images/videos that showed the strength of the storm","How much did you see the information below from social media such as Facebook, Twitter, etc.? - People were making preparations","How much did you see the information below from social media such as Facebook, Twitter, etc.? - People were staying in their homes","How much did you see the information below from social media such as Facebook, Twitter, etc.? - People were leaving","How much did you see the information below from social media such as Facebook, Twitter, etc.? - Traffic and road condition",What were your family and friends mainly suggesting?,What were your neighbors mainly doing?,Please select the factors that made your evacuation difficult (check all that apply),How old are you?,Please select the gender you identify with:,Please select the race or ethnic background that best describes you:,Please indicate your highest level of education:,Please select the option that best describes your or your family's total yearly household income:,"At the time of the hurricane, how many people were living in your household (including you)?",Were there children (0 to 17 years) in your household?,Were there elderly people (80 years or older) in your household?,Were there family member(s) with special needs in your household?,Were there pets in your household?,What was your zip code?,"At the time of the hurricane, how close was your home to the coast?",Which of the following types of structures were you living in?,What material was your home made of?,Did you own or rent the residence?,Did you have any insurance policy that would pay for the damages to your home or possessions?,What county were you living at?,Did you receive any evacuation notice from officials?,Was it mandatory that you must leave or recommended that you should leave?,How did you hear about the evacuation notice? (check all that apply),When did you first hear the evacuation notice?,Did officials suggest that people in your area should remain in your homes?,"Before or during Hurricane Harvey, did you evacuate?",On what date did you leave?,At what time did you leave?,Did you request emergency services at any of the following times? - Before the hurricane hitting your area,Did you request emergency services at any of the following times? - During the hurricane,Did you request emergency services at any of the following times? - After the hurricane hitting your area,"Reflection on your decision to evacuate or stay, would you make the same choice again?",Please enter your Worker ID here to get your completion code:,Code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID40""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID41""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID39""}","{""ImportId"":""QID43""}","{""ImportId"":""QID36""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID42""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID37""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""Code""}"
2017-10-31 12:53:12,2017-10-31 12:55:06,IP Address,73.55.217.212,100,113,True,2017-10-31 12:55:07,R_1QoW89vRsOefdpz,,,,,29.98779296875,-95.654998779297,anonymous,EN,A little,A moderate amount,A little,A little,A great deal,A great deal,Yes,A great deal,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,Yes,A great deal,A great deal,A moderate amount,A moderate amount,A moderate amount,A lot,Stay,Stay,"Having young children,Having pets,Evacuation expense (travel, lodging, etc.)",31,Female,Caucasian,Some college,"Over $80,000",3,Yes,No,No,Yes,77429,50 to 70 miles,Detached single family home,Brick or block,Own,Yes,Harris,No,,,,No,No,,,No,No,No,Yes,A1JJ5V5R8ECVM,118978
2017-10-31 12:53:45,2017-10-31 12:55:42,IP Address,173.217.249.123,100,116,True,2017-10-31 12:55:42,R_3qJ4oE9KUlUe2xI,,,,,31.274398803711,-92.540496826172,anonymous,EN,A great deal,A little,A lot,A little,A moderate amount,A moderate amount,Yes,A lot,A little,A moderate amount,A lot,A lot,A moderate amount,Yes,A lot,A little,A moderate amount,A little,A moderate amount,A lot,Evacuate,Evacuate,"Having family member(s) with special needs,Job obligations",28,Female,Caucasian,College graduate,"$40,000 to $80,000",3,Yes,No,No,Yes,71301,More than 70 miles,Detached single family home,Brick or block,Own,Yes,rapides,Yes,Voluntary (should),Other,"August 26th (Saturday, weakened to Tropical Storm)",No,No,,,Yes,Yes,Yes,No,A19YI8PZGYKN6X,974299
2017-10-31 12:54:44,2017-10-31 12:57:02,IP Address,50.24.98.165,100,137,True,2017-10-31 12:57:02,R_1llZeil1tXm1bv2,,,,,30.567001342773,-96.283699035645,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Yes,A little,A little,A little,A little,A lot,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Evacuate,Stay,"Having pets,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",30,Male,Asian,College graduate,"$15,000 to $25,000",3,No,No,No,Yes,77304,10 to 30 miles,Detached single family home,Brick or block,Own,Yes,Harris,No,,,,Yes,Yes,August 24th (Thursday),Morning,,,,Yes,A1HN4550TIXQBZ,928518
2017-10-31 12:56:04,2017-10-31 13:00:01,IP Address,70.140.24.236,100,236,True,2017-10-31 13:00:02,R_cLN40KALUn4lQOJ,,,,,29.915603637695,-95.649101257324,anonymous,EN,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot,Yes,A little,A little,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A little,A moderate amount,A little,A little,A moderate amount,A moderate amount,Stay,Stay,"Having young children,Evacuation expense (travel, lodging, etc.)",44,Female,Caucasian,High school graduate,"$40,000 to $80,000",7,Yes,No,No,No,77449,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,harris,No,,,,Yes,No,,,No,No,No,Yes,A1Y508FNU04ZLH,957767
2017-10-31 13:05:09,2017-10-31 13:08:02,IP Address,174.47.173.234,100,173,True,2017-10-31 13:08:02,R_10GzEC4UU4UPzDQ,,,,,30.137496948242,-93.452903747559,anonymous,EN,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,A lot,Yes,A lot,A little,A moderate amount,A lot,A moderate amount,A moderate amount,Yes,A great deal,A lot,A lot,A moderate amount,A moderate amount,A lot,Stay,Stay,"Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc),No place to go (hotels, public shelters, friends' or family's places, etc.)",26,Male,Caucasian,College graduate,"$25,000 to $40,000",3,No,No,No,Yes,70663,30 to 50 miles,Detached single family home,Brick or block,Rent,No,Calcasieu,,,,,Yes,No,,,No,No,No,No,A326O3VWP8TO8N,794519
2017-10-31 13:05:36,2017-10-31 13:09:41,IP Address,98.195.62.48,100,245,True,2017-10-31 13:09:41,R_esyOE0Y0uUWEbdv,,,,,29.722106933594,-95.640701293945,anonymous,EN,A great deal,A little,None at all,None at all,A great deal,A great deal,Yes,A moderate amount,A little,A moderate amount,A great deal,A great deal,A moderate amount,Yes,A lot,A great deal,A lot,A lot,A moderate amount,A little,Stay,Stay,Having pets,31,Female,African American,College graduate,"$40,000 to $80,000",1,No,No,No,Yes,77082,50 to 70 miles,Condo/apartment - 4 stories or less,Brick or block,Rent,No,Harris,No,,,,Yes,No,,,No,No,No,Yes,A1ZVTAK0GLO959,209920
2017-10-31 13:21:19,2017-10-31 13:25:54,IP Address,64.213.81.34,100,275,True,2017-10-31 13:25:55,R_5aqeNXnrpMaw4N3,,,,,29.98779296875,-95.654998779297,anonymous,EN,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A great deal,A great deal,Yes,A moderate amount,A little,A moderate amount,A lot,A moderate amount,A little,Yes,A little,A little,A little,A moderate amount,None at all,A little,Stay,Stay,None,32,Male,Asian,College graduate,"$40,000 to $80,000",1,No,No,No,No,77062,50 to 70 miles,Detached single family home,Brick or block,Own,Yes,Harris,No,,,,Yes,No,,,No,No,No,Yes,A1S6BP97XORRKU,681436
2017-10-31 13:33:55,2017-10-31 13:36:16,IP Address,98.195.208.175,100,141,True,2017-10-31 13:36:16,R_2BeY9Z1ER72viCh,,,,,29.544692993164,-95.33699798584,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A great deal,Yes,A lot,A little,A great deal,A moderate amount,A great deal,A moderate amount,Yes,A little,A little,A moderate amount,A moderate amount,A moderate amount,A great deal,Stay,Stay,Having elderly family member(s),31,Male,Asian,College graduate,"$40,000 to $80,000",3,No,Yes,No,Yes,77584,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,Brazoria,No,,,,Yes,No,,,No,No,No,Yes,A2YFLGU51ST022,441085
